Company/Brand,Stage,Amount($),HeadQuarter,What_it_does,Sector,Funding_Year,Founded,Founders,Investor,Startup_Age
Mihuru,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,Technology,2018,2016.0,unknown,unknown,2.0
Fyle,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,Technology,2018,2016.0,unknown,unknown,2.0
AppWharf,Seed,1000000.0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Technology,2018,2016.0,unknown,unknown,2.0
Antariksh Waste Ventures Pvt ltd,Seed,1000000.0,Chennai,Waste Management for Smart Cities,Technology,2018,2016.0,unknown,unknown,2.0
Cogoport,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
PaisaDukan,Seed,650000.0,Mumbai,A P2P lending marketplace platform,Finance,2018,2016.0,unknown,unknown,2.0
Sleepy Owl Coffee,Seed,1000000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Food & Beverages,2018,2016.0,unknown,unknown,2.0
BlueJack,Seed,1000000.0,Delhi,Delhi-based online used vehicles marketplace.,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
PregBuddy,Seed,1000000.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,Healthcare,2018,2016.0,unknown,unknown,2.0
AgNext Technologies,Series A,1000000.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Agriculture,2018,2016.0,unknown,unknown,2.0
Pando,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
Mintifi,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,Finance,2018,2016.0,unknown,unknown,2.0
Carcrew,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,Engineering,2018,2016.0,unknown,unknown,2.0
NicheAI,Angel,1000000.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,Technology,2018,2016.0,unknown,unknown,2.0
Chariot Tech,Seed,1000000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Technology,2018,2016.0,unknown,unknown,2.0
Ideal Insurance Brokers/ 121Policy.com,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,Finance,2018,2016.0,unknown,unknown,2.0
Loanzen,Seed,1000000.0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Finance,2018,2016.0,unknown,unknown,2.0
Mojro Technologies,Seed,650000.0,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
Elemential,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Technology,2018,2016.0,unknown,unknown,2.0
Loadshare,Series A,5000000.0,Bengaluru,LoadShare is India’s fastest growing logistics company,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
Yumlane,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,Food & Beverages,2018,2016.0,unknown,unknown,2.0
Kriger Campus,Seed,1000000.0,New Delhi,A Education Start Up.,Education,2018,2016.0,unknown,unknown,2.0
Pipa+Bella,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,Retail,2018,2016.0,unknown,unknown,2.0
Kaleidofin,Seed,2800000.0,Chennai,A fintech platform.,Finance,2018,2016.0,unknown,unknown,2.0
Chakr Innovation,Seed,1000000.0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Energy,2018,2016.0,unknown,unknown,2.0
IndigoLearn,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,Education,2018,2016.0,unknown,unknown,2.0
UClean,Seed,1000000.0,India,UClean is a tech enabled laundry service provider.,Services,2018,2016.0,unknown,unknown,2.0
Coutloot,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,E-commerce,2018,2016.0,unknown,unknown,2.0
Letstrack,Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
Pooltoo,Seed,1000000.0,New Delhi,Pooltoo offers a premium ride sharing platform.,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
Finzy,Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,Finance,2018,2016.0,unknown,unknown,2.0
Fitternity,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Healthcare,2018,2016.0,unknown,unknown,2.0
Keito,Seed,1000000.0,Pune,Building an Intelligent Digital Assistant.,Technology,2018,2016.0,unknown,unknown,2.0
Tolet for Students,Seed,1000000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",Hospitality,2018,2016.0,unknown,unknown,2.0
Chai Kings,Seed,1000000.0,Chennai,Chai Kings is a tea retail chain,Food & Beverages,2018,2016.0,unknown,unknown,2.0
Dainik Jagran,Seed,1000000.0,Kanpur,Dainik Jagran is a media and communications group.,Media & Entertainment,2018,2016.0,unknown,unknown,2.0
Playtoome,Seed,1000000.0,Bengaluru,Playtoome is a live entertainment destination,Media & Entertainment,2018,2016.0,unknown,unknown,2.0
ONGO Framework,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,Technology,2018,2016.0,unknown,unknown,2.0
Notesgen,Seed,1000000.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Education,2018,2016.0,unknown,unknown,2.0
Arogya MedTech,Seed,1000000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Healthcare,2018,2016.0,unknown,unknown,2.0
Propshop24,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",E-commerce,2018,2016.0,unknown,unknown,2.0
myUpchar,Series A,5000000.0,New Delhi,To bring health issues to people in their language.,Healthcare,2018,2016.0,unknown,unknown,2.0
MissMalini Entertainment,Seed,1000000.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Technology,2018,2016.0,unknown,unknown,2.0
Rooter,Seed,1000000.0,India,Rooter is a mobile-based platform,Sports,2018,2016.0,unknown,unknown,2.0
ZestMoney,Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,Finance,2018,2016.0,unknown,unknown,2.0
alphaics Corporation,Seed,1000000.0,Bengaluru,Advancing AI compute,Technology,2018,2016.0,unknown,unknown,2.0
MyDentistChoice,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Healthcare,2018,2016.0,unknown,unknown,2.0
Sattviko,Angel,1000000.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,Food & Beverages,2018,2016.0,unknown,unknown,2.0
Sensibull,Seed,1000000.0,Bangalore,Investment Management Platform,E-commerce,2018,2016.0,unknown,unknown,2.0
Bombay Shaving Company,Series A,1000000.0,New Delhi,Bombay Shaving Company is a Men's grooming startup,Lifestyle,2018,2016.0,unknown,unknown,2.0
MedCords,Seed,1000000.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Lifestyle,2018,2016.0,unknown,unknown,2.0
University Living,Seed,1000000.0,New Delhi,University Living is an online global student housing marketplace.,Education,2018,2016.0,unknown,unknown,2.0
&ME,Seed,1000000.0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Food & Beverages,2018,2016.0,unknown,unknown,2.0
Enakshi,Seed,1000000.0,Ahmedabad,Enakshi is an online apparel brand for women.,Lifestyle,2018,2016.0,unknown,unknown,2.0
Ultraviolette Automotive,Series A,1000000.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Engineering,2018,2016.0,unknown,unknown,2.0
Inthree Access,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,Retail,2018,2016.0,unknown,unknown,2.0
BUGWORKS Research India,Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,Healthcare,2018,2016.0,unknown,unknown,2.0
Guardian.in,Seed,1000000.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Healthcare,2018,2016.0,unknown,unknown,2.0
PrestLoans,Seed,100000.0,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Finance,2018,2016.0,unknown,unknown,2.0
Wimoxez,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Technology,2018,2016.0,unknown,unknown,2.0
India Accelerator,Angel,1000000.0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Services,2018,2016.0,unknown,unknown,2.0
HappyEMI,Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Finance,2018,2016.0,unknown,unknown,2.0
Wishup,Seed,1000000.0,Azadpur,Premium Personal Assistance service,Technology,2018,2016.0,unknown,unknown,2.0
Hansel.io,Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Technology,2018,2016.0,unknown,unknown,2.0
Propelld,Seed,250000.0,Bengaluru,Propelld is a student education financing platform.,Finance,2018,2016.0,unknown,unknown,2.0
PivotRoots,Series A,1000000.0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,E-commerce,2018,2016.0,unknown,unknown,2.0
ZiffyHomes,Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,Real Estate,2018,2016.0,unknown,unknown,2.0
Carmesi,Seed,1000000.0,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,Healthcare,2018,2016.0,unknown,unknown,2.0
OckyPocky,Angel,1000000.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,Education,2018,2016.0,unknown,unknown,2.0
Racetrack,Seed,1000000.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",Technology,2018,2016.0,unknown,unknown,2.0
WHR,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",Healthcare,2018,2016.0,unknown,unknown,2.0
Asteria Aerospace,Seed,1000000.0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,Engineering,2018,2016.0,unknown,unknown,2.0
FabAlley,Series B,1000000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",Lifestyle,2018,2016.0,unknown,unknown,2.0
Tranzmeo,Pre-Seed,1000000.0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,Technology,2018,2016.0,unknown,unknown,2.0
Studds Accessories,Equity,1000000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,E-commerce,2018,2016.0,unknown,unknown,2.0
Design Cafe,Series B,1000000.0,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Real Estate,2018,2016.0,unknown,unknown,2.0
NoPaperForms Solutions Pvt. Ltd.,Series B,3980000.0,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Education,2018,2016.0,unknown,unknown,2.0
Rays Power Infra,Unknown,1000000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,Energy,2018,2016.0,unknown,unknown,2.0
AuthMetrik,Grant,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",Technology,2018,2016.0,unknown,unknown,2.0
Khidki,Seed,1000000.0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,Technology,2018,2016.0,unknown,unknown,2.0
LetsTransport,Series B,1000000.0,Bangalore,Lets transport is a logistics solution provider.,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
Next Digital Solutions,Angel,1000000.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,E-commerce,2018,2016.0,unknown,unknown,2.0
Portea Medical,Debt Financing,1000000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,Healthcare,2018,2016.0,unknown,unknown,2.0
Aavas Financiers,Debt Financing,1000000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Finance,2018,2016.0,unknown,unknown,2.0
Milkbasket,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Food & Beverages,2018,2016.0,unknown,unknown,2.0
Nutrisattva (Proliva),Angel,1000000.0,Anand,Nutrisattva is a protein innovation compan,Food & Beverages,2018,2016.0,unknown,unknown,2.0
Jagaran Microfin,Debt Financing,1000000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,Technology,2018,2016.0,unknown,unknown,2.0
Be U Salons,Seed,1000000.0,New Delhi,Be U is India's first subscription based Salon Chain.,Lifestyle,2018,2016.0,unknown,unknown,2.0
Impact Guru,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",Services,2018,2016.0,unknown,unknown,2.0
MobiKwik,Later Stage,1000000.0,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,Finance,2018,2016.0,unknown,unknown,2.0
Stones2Milestones,Seed,1000000.0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,Education,2018,2016.0,unknown,unknown,2.0
Generico,Series A,1000000.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,Healthcare,2018,2016.0,unknown,unknown,2.0
Adiuvo Diagnostics,Seed,1000000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,Healthcare,2018,2016.0,unknown,unknown,2.0
DataTrained,Seed,1000000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",Education,2018,2016.0,unknown,unknown,2.0
OneAssist,Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,Technology,2018,2016.0,unknown,unknown,2.0
APAC Financial Services,Equity,1000000.0,Mumbai,APAC Financial Services is a financial services platform.,Finance,2018,2016.0,unknown,unknown,2.0
SEDEMAC Mechatronics,Unknown,1000000.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,Engineering,2018,2016.0,unknown,unknown,2.0
MadGuy Labs,Unknown,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,Education,2018,2016.0,unknown,unknown,2.0
Dee Dee Labs,Seed,1000000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,Healthcare,2018,2016.0,unknown,unknown,2.0
FLEECA,Seed,1000000.0,Jaipur,FLEECA is a Tyre Care Provider company.,Technology,2018,2016.0,unknown,unknown,2.0
Shop101,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,E-commerce,2018,2016.0,unknown,unknown,2.0
FeedMyPockets,Seed,1000000.0,Bangalore City,On Demand Staffing Platform,E-commerce,2018,2016.0,unknown,unknown,2.0
Housejoy,Series B,3240000.0,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,Lifestyle,2018,2016.0,unknown,unknown,2.0
Ambee,Angel,1000000.0,Bangalore,Ambee is an Environment analytics startup.,Healthcare,2018,2016.0,unknown,unknown,2.0
FoodBuddy,Seed,1000000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
Ninjacart,Series B,1000000.0,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,Agriculture,2018,2016.0,unknown,unknown,2.0
Olly Smart Credit Card,Seed,1000000.0,New Delhi,Olly is a digital credit card for India's working masses and young people.,Finance,2018,2016.0,unknown,unknown,2.0
Zestl,Seed,1000000.0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",Technology,2018,2016.0,unknown,unknown,2.0
Wakefit,Unknown,1000000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,Retail,2018,2016.0,unknown,unknown,2.0
Hero Electric,Unknown,1000000.0,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",Retail,2018,2016.0,unknown,unknown,2.0
Pentation Analytics,Seed,1000000.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,Finance,2018,2016.0,unknown,unknown,2.0
PerkFinance,Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,Finance,2018,2016.0,unknown,unknown,2.0
Roposo,Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,Media & Entertainment,2018,2016.0,unknown,unknown,2.0
Plum Goodness,Series A,1000000.0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,Lifestyle,2018,2016.0,unknown,unknown,2.0
Drstore,Seed,1000000.0,Mumbai,Drstore is a exclusive e- commerce platform.,Healthcare,2018,2016.0,unknown,unknown,2.0
Wow Venue,Unknown,1500000.0,Mumbai,Wow Venue is an online platform.,Hospitality,2018,2016.0,unknown,unknown,2.0
Chizel,Seed,1000000.0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,Manufacturing,2018,2016.0,unknown,unknown,2.0
OTO Capital,Seed,1000000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,Engineering,2018,2016.0,unknown,unknown,2.0
Boodmo,Seed,1000000.0,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,Retail,2018,2016.0,unknown,unknown,2.0
Khabri,Seed,1000000.0,Haryana,Khabri is a digital audio platform for content in vernacular.,Media & Entertainment,2018,2016.0,unknown,unknown,2.0
MyNewCar.in,Unknown,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,Engineering,2018,2016.0,unknown,unknown,2.0
HalaPlay Technologies,Series A,5000000.0,Bangalore,A daily fantasy sports platform.,Media & Entertainment,2018,2016.0,unknown,unknown,2.0
PlanetSpark,Seed,1000000.0,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,Education,2018,2016.0,unknown,unknown,2.0
WheelsEMI,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",Technology,2018,2016.0,unknown,unknown,2.0
Forum for Innovation Incubation Research and Entrepreneurship,Grant,1000000.0,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",Services,2018,2016.0,unknown,unknown,2.0
Quikr,Debt Financing,1000000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",Real Estate,2018,2016.0,unknown,unknown,2.0
Tabono,Seed,1000000.0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,Sports,2018,2016.0,unknown,unknown,2.0
LearnApp,Seed,1000000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",Education,2018,2016.0,unknown,unknown,2.0
Shopkirana,Unknown,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,Technology,2018,2016.0,unknown,unknown,2.0
Fric Bergen,Unknown,1000000.0,Alwar,Fric Bergen is a leader in the specialty food industry.,Technology,2018,2016.0,unknown,unknown,2.0
Articbot,Grant,1000000.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,Technology,2018,2016.0,unknown,unknown,2.0
BuildSupply,Series A,1000000.0,Gurgaon,India’s most advanced ERP system for the real estate,Real Estate,2018,2016.0,unknown,unknown,2.0
Fusion Microfinance,Later Stage,1000000.0,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,Finance,2018,2016.0,unknown,unknown,2.0
Any time Doctor,Angel,1000000.0,Chennai,Anytime Doctor is a Software company.,Technology,2018,2016.0,unknown,unknown,2.0
Go Payments,Later Stage,1000000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,Technology,2018,2016.0,unknown,unknown,2.0
Guiddoo World,Seed,800000.0,Mumbai,We build In-Destination Experiences!,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
ION Energy,Unknown,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Energy,2018,2016.0,unknown,unknown,2.0
UnoTag,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,Technology,2018,2016.0,unknown,unknown,2.0
CivilCops,Pre-Seed,100000.0,Gurgaon,Gov-Tech,Technology,2018,2016.0,unknown,unknown,2.0
Rockmetric,Grant,1000000.0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",Technology,2018,2016.0,unknown,unknown,2.0
Classworks India,Unknown,1000000.0,Chennai,"Saas, Web App, Mobile App, School Education",Technology,2018,2016.0,unknown,unknown,2.0
Snapmint,Seed,1000000.0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",Finance,2018,2016.0,unknown,unknown,2.0
artbandhu,Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,Media & Entertainment,2018,2016.0,unknown,unknown,2.0
Survaider,Seed,500000.0,Bengaluru,Stethoscope for customer feedback !,Services,2018,2016.0,unknown,unknown,2.0
Credy,Seed,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,Finance,2018,2016.0,unknown,unknown,2.0
iChamp,Seed,5000000.0,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,Education,2018,2016.0,unknown,unknown,2.0
Qandle,Seed,1200000.0,Gurgaon,A cloud-based HR management and employee engagement platform.,Technology,2018,2016.0,unknown,unknown,2.0
Avishkaar Box,Seed,1000000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",Education,2018,2016.0,unknown,unknown,2.0
Gegadyne Energy,Angel,1000000.0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,Engineering,2018,2016.0,unknown,unknown,2.0
HyperXchange,Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,E-commerce,2018,2016.0,unknown,unknown,2.0
Deftouch,Seed,1000000.0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,Technology,2018,2016.0,unknown,unknown,2.0
Doodhwala,Seed,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
DronaHQ,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,Technology,2018,2016.0,unknown,unknown,2.0
FastFox,Series A,1000000.0,Gurgaon,FastFox: Market Network for Home Rentals (India),Real Estate,2018,2016.0,unknown,unknown,2.0
Colive.in,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,Services,2018,2016.0,unknown,unknown,2.0
Agricxlab Private Limited,Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,E-commerce,2018,2016.0,unknown,unknown,2.0
Corefactors,Seed,1000000.0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",Technology,2018,2016.0,unknown,unknown,2.0
Fincash.com,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,Finance,2018,2016.0,unknown,unknown,2.0
Pandorum Technologies,Series A,3600000.0,Bengaluru,Bengaluru based biotech startup.,Healthcare,2018,2016.0,unknown,unknown,2.0
Shirsa Labs,Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,Education,2018,2016.0,unknown,unknown,2.0
PetSutra,Seed,1000000.0,Gurgaon,Gurugram-based Online petcare platform.,Healthcare,2018,2016.0,unknown,unknown,2.0
Awaaz De,Angel,1000000.0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,Technology,2018,2016.0,unknown,unknown,2.0
PinkBlue,Seed,300000.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
