Company/Brand,Stage,Amount($),Location,What_it_does,Sector
AgNext Technologies,Series A,1000000.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Agriculture
Pando,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,Transportation & Logistics
Mintifi,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,Finance
Carcrew,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,Engineering
NicheAI,Angel,1000000.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,Technology
Chariot Tech,Seed,1000000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Technology
Ideal Insurance Brokers/ 121Policy.com,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,Finance
Loanzen,Seed,1000000.0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Finance
Mojro Technologies,Seed,650000.0,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,Transportation & Logistics
Elemential,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Technology
Loadshare,Series A,5000000.0,Bengaluru,LoadShare is India’s fastest growing logistics company,Transportation & Logistics
Yumlane,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,Food & Beverage
Kriger Campus,Seed,1000000.0,New Delhi,A Education Start Up.,Education
Pipa+Bella,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,Retail
Kaleidofin,Seed,2800000.0,Chennai,A fintech platform.,Finance
Chakr Innovation,Seed,1000000.0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Energy
IndigoLearn,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,Education
UClean,Seed,1000000.0,India,UClean is a tech enabled laundry service provider.,Services
Coutloot,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,E-commerce
Letstrack,Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",Transportation & Logistics
Pooltoo,Seed,1000000.0,New Delhi,Pooltoo offers a premium ride sharing platform.,Transportation & Logistics
Finzy,Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,Finance
Fitternity,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Healthcare
Keito,Seed,1000000.0,Pune,Building an Intelligent Digital Assistant.,Technology
Tolet for Students,Seed,1000000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",Hospitality
Chai Kings,Seed,1000000.0,Chennai,Chai Kings is a tea retail chain,Food & Beverage
Dainik Jagran,Seed,1000000.0,Kanpur,Dainik Jagran is a media and communications group.,Media & Entertainment
Playtoome,Seed,1000000.0,Bengaluru,Playtoome is a live entertainment destination,Media & Entertainment
ONGO Framework,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,Technology
Notesgen,Seed,1000000.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Education
Arogya MedTech,Seed,1000000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Healthcare
Propshop24,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",E-commerce
myUpchar,Series A,5000000.0,New Delhi,To bring health issues to people in their language.,Healthcare
MissMalini Entertainment,Seed,1000000.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Technology
Rooter,Seed,1000000.0,India,Rooter is a mobile-based platform,Sports
ZestMoney,Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,Finance
alphaics Corporation,Seed,1000000.0,Bengaluru,Advancing AI compute,Technology
MyDentistChoice,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Healthcare
Sattviko,Angel,1000000.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,Food & Beverage
Sensibull,Seed,1000000.0,Bangalore,Investment Management Platform,E-commerce
Bombay Shaving Company,Series A,1000000.0,New Delhi,Bombay Shaving Company is a Men's grooming startup,Lifestyle
MedCords,Seed,1000000.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Lifestyle
University Living,Seed,1000000.0,New Delhi,University Living is an online global student housing marketplace.,Education
&ME,Seed,1000000.0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Food & Beverage
Enakshi,Seed,1000000.0,Ahmedabad,Enakshi is an online apparel brand for women.,Lifestyle
Ultraviolette Automotive,Series A,1000000.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Engineering
Inthree Access,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,Retail
BUGWORKS Research India,Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,Healthcare
Guardian.in,Seed,1000000.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Healthcare
PrestLoans,Seed,100000.0,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Finance
Wimoxez,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Technology
India Accelerator,Angel,1000000.0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Services
HappyEMI,Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Finance
Wishup,Seed,1000000.0,Azadpur,Premium Personal Assistance service,Technology
Hansel.io,Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Technology
Propelld,Seed,250000.0,Bengaluru,Propelld is a student education financing platform.,Finance
PivotRoots,Series A,1000000.0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,E-commerce
ZiffyHomes,Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,Real Estate
Carmesi,Seed,1000000.0,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,Healthcare
OckyPocky,Angel,1000000.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,Education
Racetrack,Seed,1000000.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",Technology
WHR,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",Healthcare
Asteria Aerospace,Seed,1000000.0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,Engineering
FabAlley,Series B,1000000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",Lifestyle
Tranzmeo,Pre-Seed,1000000.0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,Technology
SBI Life,Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Finance
Studds Accessories,Equity,1000000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,E-commerce
Design Cafe,Series B,1000000.0,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Real Estate
NoPaperForms Solutions Pvt. Ltd.,Series B,3980000.0,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Education
Rays Power Infra,Unknown Stage,1000000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,Energy
AuthMetrik,Grant,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",Technology
Khidki,Seed,1000000.0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,Technology
LetsTransport,Series B,1000000.0,Bangalore,Lets transport is a logistics solution provider.,Transportation & Logistics
Next Digital Solutions,Angel,1000000.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,E-commerce
Portea Medical,Debt Financing,1000000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,Healthcare
Aavas Financiers,Debt Financing,1000000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Finance
Swiggy,Later Stage,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,Transportation & Logistics
Milkbasket,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Food & Beverage
Nutrisattva (Proliva),Angel,1000000.0,Anand,Nutrisattva is a protein innovation compan,Food & Beverage
Toppr,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,Education
Jagaran Microfin,Debt Financing,1000000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,Technology
Vivriti Capital,Unknown Stage,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,Finance
Be U Salons,Seed,1000000.0,New Delhi,Be U is India's first subscription based Salon Chain.,Lifestyle
Impact Guru,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",Services
MobiKwik,Later Stage,1000000.0,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,Finance
Stones2Milestones,Seed,1000000.0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,Education
Generico,Series A,1000000.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,Healthcare
Adiuvo Diagnostics,Seed,1000000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,Healthcare
DataTrained,Seed,1000000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",Education
OneAssist,Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,Technology
Satin Creditcare Network Limited (SCNL),Debt Financing,30000000.0,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,Finance
APAC Financial Services,Equity,1000000.0,Mumbai,APAC Financial Services is a financial services platform.,Finance
Moglix,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",Technology
SEDEMAC Mechatronics,Unknown Stage,1000000.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,Engineering
MadGuy Labs,Unknown Stage,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,Education
Dee Dee Labs,Seed,1000000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,Healthcare
FLEECA,Seed,1000000.0,Jaipur,FLEECA is a Tyre Care Provider company.,Technology
Shop101,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,E-commerce
FeedMyPockets,Seed,1000000.0,Bangalore City,On Demand Staffing Platform,E-commerce
Housejoy,Series B,3240000.0,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,Lifestyle
Ambee,Angel,1000000.0,Bangalore,Ambee is an Environment analytics startup.,Healthcare
FoodBuddy,Seed,1000000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",Transportation & Logistics
Ninjacart,Series B,1000000.0,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,Agriculture
Olly Smart Credit Card,Seed,1000000.0,New Delhi,Olly is a digital credit card for India's working masses and young people.,Finance
Zestl,Seed,1000000.0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",Technology
BYJU’S,Equity,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,Education
Wakefit,Unknown Stage,1000000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,Retail
Hero Electric,Unknown Stage,1000000.0,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",Retail
Pentation Analytics,Seed,1000000.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,Finance
PerkFinance,Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,Finance
Roposo,Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,Media & Entertainment
Plum Goodness,Series A,1000000.0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,Lifestyle
Drstore,Seed,1000000.0,Mumbai,Drstore is a exclusive e- commerce platform.,Healthcare
Wow Venue,Unknown Stage,1500000.0,Mumbai,Wow Venue is an online platform.,Hospitality
Chizel,Seed,1000000.0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,Manufacturing
OTO Capital,Seed,1000000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,Engineering
Boodmo,Seed,1000000.0,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,Retail
Khabri,Seed,1000000.0,Haryana,Khabri is a digital audio platform for content in vernacular.,Media & Entertainment
MyNewCar.in,Unknown Stage,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,Engineering
HalaPlay Technologies,Series A,5000000.0,Bangalore,A daily fantasy sports platform.,Media & Entertainment
PlanetSpark,Seed,1000000.0,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,Education
WheelsEMI,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",Technology
Forum for Innovation Incubation Research and Entrepreneurship,Grant,1000000.0,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",Services
OYO,Later Stage,100000000.0,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,Hospitality
Quikr,Debt Financing,1000000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",Real Estate
Tabono,Seed,1000000.0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,Sports
LearnApp,Seed,1000000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",Education
Shopkirana,Unknown Stage,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,Technology
Fric Bergen,Unknown Stage,1000000.0,Alwar,Fric Bergen is a leader in the specialty food industry.,Technology
Articbot,Grant,1000000.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,Technology
BuildSupply,Series A,1000000.0,Gurgaon,India’s most advanced ERP system for the real estate,Real Estate
Fusion Microfinance,Later Stage,1000000.0,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,Finance
Any time Doctor,Angel,1000000.0,Chennai,Anytime Doctor is a Software company.,Technology
Go Payments,Later Stage,1000000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,Technology
Guiddoo World,Seed,800000.0,Mumbai,We build In-Destination Experiences!,Transportation & Logistics
ION Energy,Unknown Stage,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Energy
UnoTag,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,Technology
CivilCops,Pre-Seed,100000.0,Gurgaon,Gov-Tech,Technology
Rockmetric,Grant,1000000.0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",Technology
Classworks India,Unknown Stage,1000000.0,Chennai,"Saas, Web App, Mobile App, School Education",Technology
Snapmint,Seed,1000000.0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",Finance
artbandhu,Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,Media & Entertainment
Survaider,Seed,500000.0,Bengaluru,Stethoscope for customer feedback !,Services
Credy,Seed,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,Finance
iChamp,Seed,5000000.0,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,Education
Qandle,Seed,1200000.0,Gurgaon,A cloud-based HR management and employee engagement platform.,Technology
Avishkaar Box,Seed,1000000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",Education
Gegadyne Energy,Angel,1000000.0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,Engineering
HyperXchange,Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,E-commerce
Deftouch,Seed,1000000.0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,Technology
Doodhwala,Seed,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,Transportation & Logistics
DronaHQ,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,Technology
FastFox,Series A,1000000.0,Gurgaon,FastFox: Market Network for Home Rentals (India),Real Estate
Colive.in,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,Services
Agricxlab Private Limited,Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,E-commerce
Corefactors,Seed,1000000.0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",Technology
Fincash.com,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,Finance
Pandorum Technologies,Series A,3600000.0,Bengaluru,Bengaluru based biotech startup.,Healthcare
Shirsa Labs,Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,Education
PetSutra,Seed,1000000.0,Gurgaon,Gurugram-based Online petcare platform.,Healthcare
Awaaz De,Angel,1000000.0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,Technology
PinkBlue,Seed,300000.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,Transportation & Logistics
Eduvanz,Angel,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",Finance
Rupeek,Series A,6830000.0,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,Finance
Backpacker Panda Holidays Private Limited,Series A,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,Transportation & Logistics
Shape (School Health and Physical Education),Seed,200000.0,Pune,Physical education start up,Education
Placio,Seed,2000000.0,Noida,Placio is a student housing and a complete broker-free platform.,Real Estate
Aviom India Housing Finance,Series A,1000000.0,New Delhi,Delhi based housing finance company.,Finance
GenRobotic,Seed,1000000.0,Trivandrum,A Robotic Company.,Services
HeyHolidays,Seed,1000000.0,Bangalore,"HeyHolidays, a global player in online vacation rentals.",Transportation & Logistics
Pratilipi,Series A,4300000.0,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,Education
SectorQube,Seed,1000000.0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,Technology
Food Memories,Seed,1000000.0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,Food & Beverage
ZAMROO,Seed,1000000.0,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,E-commerce
Silversparro Technologies Pvt. Ltd,Seed,300000.0,Gurgaon,Silversparro is a deep learning technology solution provider.,Technology
Creator’s Gurukul,Angel,1000000.0,Gurgaon,A coworking space provider.,Services
Emflux Motors,Seed,364846.0,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,Engineering
Tricog Health Services Pvt Ltd,Series A,4000000.0,Bangalore,Predictive Healthcare Analytics Company,Healthcare
Scapic,Seed,500000.0,Bangalore,Virtual/Augmented Reality Start Up .,Technology
6Degree,Seed,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,Lifestyle
Chrysalis (EZ Vidya),Seed,1000000.0,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,Education
Ekincare,Series A,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,Healthcare
Streo,Seed,1000000.0,Gurgaon,"Live stream music from nightclubs, bars & festivals!",Media & Entertainment
Groww,Seed,120000.0,Kormangala,Groww offers a new way of investing money.,Finance
Cell Propulsion,Seed,1000000.0,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,Technology
Chezuba,Angel,1000000.0,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,Technology
Ontrack Technologies Pvt. Ltd,Seed,1000000.0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,Transportation & Logistics
Wealthtrust,Seed,500000.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,Technology
Faclon Labs,Seed,1000000.0,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,Technology
Awign Enterprises,Seed,1000000.0,Bangalore,Operations and manpower outsourcing startup,E-commerce
CollPoll,Seed,1000000.0,Bangalore,World-class Enterprise System for Education.,Education
Zyla Health,Seed,1000000.0,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,Healthcare
Hubhopper,Series A,500000.0,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,Media & Entertainment
Rubix108 Technologies,Seed,1000000.0,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,Technology
Workflexi,Seed,1000000.0,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",Human Resources
Streak,Seed,1000000.0,Bangalore,Algorithmic trading platform.,Finance
Kuants,Seed,1000000.0,Gurgaon,Algorithmic trading platform.,Finance
NiYO Solutions,Series A,13200000.0,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,Finance
Hippo Video,Seed,1000000.0,Chennai,A video recording and sharing software.,Technology
Satvacart,Seed,1000000.0,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,E-commerce
Daaki,Angel,1000000.0,Bangalore,Sports Nutrition startup,Healthcare
Simulanis,Seed,500000.0,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,Media & Entertainment
MY CHIRAAG CAB,Seed,1000000.0,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,Transportation & Logistics
WOTU,Seed,1000000.0,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.,Food & Beverage
Flathalt,Angel,50000.0,Gurgaon,FInd your Customized Home here.,Technology
True Elements,Seed,1000000.0,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,Food & Beverage
Trendlyne Technologies,Seed,200000.0,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,Finance
Planys Technologies,Series A,1000000.0,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,Technology
HealthPlix,Series A,3000000.0,Bangalore,HealthPlix is a healthtech startup,Healthcare
dishq,Seed,400000.0,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,Technology
Entropik Technology,Seed,1100000.0,Bengaluru,The boundaries between Human and Machines are shrinking fast.,Technology
myHQ,Series A,500000.0,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,Real Estate
Trell,Seed,1250000.0,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,Technology
Kidovators (by GyanLab),Seed,180000.0,Bangalore,Building future human capital through 21st Century Skills programs for K-12,Technology
Log 9 Materials,Seed,1000000.0,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup,Technology
VTION,Seed,1000000.0,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,Media & Entertainment
HousingMan.com,Seed,1000000.0,Bengaluru,"New Apartments, Flats for Sale in Bangalore",Technology
Steradian Semiconductors,Seed,1000000.0,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,Technology
RupeeCircle,Seed,1000000.0,Mumbai,RupeeCircle is a new age finance company.,Finance
